Name,Link,Nomor Kontak,Alamat,Kota / Kabupaten,Jenis Layanan / Barang
Isi ulang oxygen FATHIR GAS,"Rute bersama Dari (-6.2870647,107.1518440) ke Isi ulang oxygen. FATHIR GAS, Jl.kampung cibitung babakan. gang salim. Tepat nya didepan SDIT NURUL FAJRI Rt 006 rw 02 no 128 Kel, Telaga Asih, Kec. Cikarang Bar., Bekasi, Jawa Barat 17530 lewat Jl. Inspeksi Kalimalang.  22 mnt (10 km) 22 mnt bila lalu lintas seperti sekarang   1. Ambil arah barat di Jl. Jababeka II J menuju Jl. Jababeka II I 2. Belok kiri ke Jl. Jababeka II I 3. Belok kanan ke Jl. Jababeka IIG 4. Belok kiri ke Jl. Jababeka IIID 5. Belok kiri ke Jl. Jababeka II 6. Belok kanan ke Jl. Jababeka Raya 7. Belok kiri ke Jl. Jababeka Ⅳ 8. Belok kanan setelah PINTU 9 (di sebelah kanan) ke Jl. Inspeksi Kalimalang 9. Belok kanan ke Jl. Irigasi Rw. Palangan II 10. Belok kiri setelah Barokah ""Ayam Tulang Lunak"" Haji Sito (di sebelah kiri) 11. Belok kanan 12. Belok kiri 13. Belok kiri menuju Jl. Raya Cikedokan 14. Belok kanan ke Jl. Raya Cikedokan 15. Belok kanan ke Jl. Raya Imam Bonjol/Jl. Raya Pantura 16. Belok kiri setelah Portal Taman Aster (di sebelah kiri) ke Jl. Telaga Asih 17. Belok kiri untuk tetap di Jl. Telaga Asih 18. Tiba di lokasi: Isi ulang oxygen. FATHIR GAS Untuk mendapatkan rute terbaik dalam kondisi lalu lintas saat ini, lihat https://maps.app.goo.gl/FULdQiTGTW6qKEed9",0878-7819-5751,"Jl.kampung cibitung babakan. gang salim. Tepat nya di depan SDIT NURUL FAJRI Rt 006 rw 02 no 128 Kel, Telaga Asih, Kec. Cikarang Bar., Bekasi, Jawa Barat 17530",Kab. Bekasi,Pembelian Tabung dan Isi Ulang Tabung. Isi ulang Oksigen 20k-30k. Buka 24 jam 
Suplier Oksigen,,085649595148,Jl. Belibis Terusan No 53A Palmerah,Jakarta Barat,
Suplier Oksigen,,0821 2436 6699,Jl. Industri Raya No.21 Gunung Sahari Utara ,Jakarta Pusat,
Eko - suplier gas,,0821 3833 1686,,Yogjakarta,
Candi Prima gas,,+6282138227161 +6285700661773,,Yogyakarta,
Suplier O2 Tangerang,,0818 0406 8707,"Jl Jend  Sudirman, RT 007/RW 003, Cikokol, Kota Tangerang, Banten.",Kota Tangerang,
Suplier O2 Tangerang,,0817 0765 5977,Cikokol - Banten,Tangerang,
Suplier O2 - Tangerang,,0812 8590 1241,"Jl DR Sukaman, RW 9, Bencongan, Kelapa Dua, Banten.",Tangerang,
Darul Oksigen,,0813 8186 4699,"Jln H Saidi I, Cipete Utara.",Jakarta Selatan,
"Sewa Tabung Gas Oksigen,",,0858 9129 3295,Jalan Raya Bogor,Bogor,Sewa Tabung Gas Oksigen
Medical Mandiri ,,0858 886 71 711 /  0821 12222 132,"Jl Panjang Arteri Kedoya No 13, depan dealer Yamaha Putra Motor. ",Jakarta Barat,*(Pengisian 24 Jam)*
Pro Sehat Isi/Refill Oxygen and Health Equipment Supply,,081382819318,"Jl. Kelapa Sawit XI BG 7 No 10. Sektor Raya No1B
Pakulonan Barat, Kec. Kelapa Dua, Tangerang",Tangerang,Isi/Refill Oxygen
Isi Ulang Oxygen Medical,,081277162917,"Jl. Borobudur Raya, 
Jl. Besi Raya, Perumnas II No. 107 A, Cibodas Baru, Kota Tangerang.",Tangerang,ISi ulang
Suplier O2 Medan,,061 - 4518085.,"Jl Raden Saleh No 33 Kesawan, Medan Barat.",Medan,
Kimia Farma,,(021) 7943222,"Jl. Raya Km 19, Selatan, Pasar Minggu, RT.3/RW.5, Pejaten Bar., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",Jakarta Selatan,Pembelian Tabung
Bu Hj Zaenab,Wa.me/6287804246743,887804246743,"area cimahi. Lokasi kebon kopi, ranca bentang.",Cimahi,Pembelian Tabung
CV. BAYU BANGUN SAKTI (BBS OXYGEN),https://goo.gl/maps/EVHrqdgdottBgi1w6,081907163300,"Jln. Lingkar Selatan no. 9, Tanjung Karang, Ampenan, NTB",Kota Mataram,Pembelian tabung 1 m3 & regulator; Penyewaan tabung 6 m3; Pengisian ulang tabung oksigen. Buka Senin s/d. Sabtu jam 07.30-16.30 WITA (Minggu/hari libur tutup)
Tri Gases,,081340927128,Jl. Karya rakyat no.41,Medan,Pembelian Tabung /isi ulang Oksigen/Jaminan
Central oksigen,"https://www.google.com/maps/place/Central+Oksigen,+Jl.+Jati+Mataram+No.319,+Gemangan,+Sinduadi,+Kec.+Mlati,+Kabupaten+Sleman,+Daerah+Istimewa+Yogyakarta+55284/@-7.7618339,110.3686232,15z/data=!4m2!3m1!1s0x2e7a5850f1d86d6f:0x9b2f642ebce5e9c",0852-9260-7777,"Jl. Jati Mataram No. 319, Gemawang, Sinduadi, Mlati",Sleman,Pembelian oksigen
,,,,Semarang,
Toko Nusa Gas,,,"Jl. Masjid Al-Wustho No.rt.11, RT.11/RW.7, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",Jakarta Timur,Isi ulang Tabung Oksigen
Surya gas,,,,,
Oksigen24,, 081280082424 ,"Jl. Dworowati Raya No.1, Krobokan, Kec. Semarang Barat.",Kota Semarang,"Sewa untuk covid*,  Kami Ada 2 pilihan,  *Tabung besar 6 M3* :  Sewa tabung Rp. 200.000/Bulan Beli Regulator Rp. 275.00 isi oksigen Rp. 150.000 *Total Rp. 625.000*  *Tabung Kecil 1 M3* : Sewa Tabung Rp. 75.000/Bulan Beli Regulator Rp. 275.000 Isi Oksigen Rp. 70.000 *Total Rp. 420.000*"
NG Refill Oksigen,NG Refill Oksigen 0812-8990-2162 https://goo.gl/maps/zpeNrPZAHoaWgbsbA,0812-8990-2162,"Jl. Raya Penggilingan No.16, RT.12/RW.11, Penggilingan, Cakung, East Jakarta City, Jakarta 13940",JAKARTA TIMUR,isi ulang
Wastek,,Annisa (0878-8897-4510) Bapak Jef Budiharto (0852-5765-1189),"Jalan Rawa Gelam II No.3 Kawasan Industri Pulogadung, Jakarta Timur",Jakarta Timur,Fasilitas gratis oxygen generator dan filling dengan tingkat kemurnian oxygen 92.5 -95%.
Vittaoksigen,,(02) 7591-1145,"Jalan Lebak Bulus III No.8, RT.8/ RW.4, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440",Jakarta Selatan,Fasilitas gratis oxygen generator dan filling dengan tingkat kemurnian oxygen 92.5 -95%. Jam operasional Senin-Sabtu 08.00-17.00
Hikmah Gas Medical Oksigen,,(021) 75910775,"Jl. Karang Tengah Raya No.49, RT.5/RW.3, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,"Sewa tabung oksigen, isi ulang oksigen gratis. Buka 24 jam"
Isi ulang oksigen WID gas bekasi,,082114054994,"Jl. Cikunir Raya No.29b, rt/rw 01/02, Jaka mulya, bekasi selatan",Bekasi,isi ulang
Mitra Gas,www.mitragas.com,081553879155,Gubeng Kertajaya VIIH/12,Surabaya,"Pembelian Tabung, Isi Ulang, Sewa | 24 jam"
UD Berkah Depok - Isi ulang oksigen medical,,"021-77824293 , 0217701485","Jl.Raya Tole Iskandar no.2
Pertigaan perumnas Depok II
Kota Depok 
Jawa Barat",Depok,Isi Ulang Tabung Oksigen
Oxygen Cilegon,,08111646004,"Ruko niaga 1 lantai blok E no.17, Metro Cilegon",Cilegon,Pembelian / isi ulang oksigen
Toko tabung oksigen dan isi ulang oksigen,,08388289929,Jl. Jembatan lama RT 09/07 no 79 kampung Makasar jakatim,Jakarta timur,Pembelian tabung dan isi ulang tabung
marantika,https://twitter.com/xxmrnzx/status/1411634155125829634?s=21,087788147157,"Balaraja, Tangerang",Tangerang,"pembelian tabung beserta isi. Ukuran oksigen 6m3. harga 4,5jt"
Inti Medika Store | Pusat Alat Kesehatan,"https://www.google.com/maps/place/Inti+Medika+Store+%7C+Pusat+Alat+Kesehatan+%7C+Intimedikastore.com/@-6.917552,107.5729483,17z/data=!3m1!4b1!4m5!3m4!1s0x2e68e6083c6d555f:0xae94369b9a0d2bf1!8m2!3d-6.9175089!4d107.5751516",+6281312389073,"Jl. Jend. Sudirman No.693, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212",Kota Bandung,Pembelian Tabung Oksigen dan Pengisian Tabung Oksigen
CV GOTI,,"HP: 085-733-893-933 Telp.: 031-5027264,  5045780","Jl. Kalibokor selatan
Ruko ngagel Jaya Indah blok D no. 56
Dekat gedung wanita",Surabaya,harga isi oksigen: Rp 66.000/tabung
CV CAROLINA PERDANA,,Telp. : 031-8987278 / 0822-4475-6559 / 0822-3240-2240,"Jl. Joyoboyo 70
Sby",Surabaya,
UD Wirantono Gas,,Telp. (0341) 326788 / HP.  0853-3300-8859,"Jl. Aris Munandar No.27, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119",Kota Malang,Isi ulang. Buka Senin sampai Jumat 09.00 – 15.00
Carolina Perdana,,Telp. 0822-4475-6559 /  0813-3345-0006,"Ruko gryashanta D.334, Jl. Soekarno – Hatta, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",Kota Malang,Jual/ Sewa/ Isi ulang - Buka 24 Jam Setiap hari
PT. CLS ,oxygenmedis.com,082245428834,"Mutiara Venezia Residence C2/78, Dayeuh, Cileungsi",Bogor,pembelian / isi ulang tabung oksigen
CV BAYU UTAMA,,0215512054 / 021 5511212 / +62 813-1076-5433,Jl. Gatot Subroto Km. 3 No. 111 Kp. Gebang,Kota Tangerang,Isi Ulang Tabung Oksigen
Insani gas,,085811607733,"Jl.perintis kemerdekaan no.37 pulogadung, jakarta timur",dki jakarta,Isi ulang tabung oksigen
PT GASINDO ANDALAN SUKSES,"https://www.google.com/maps/place/GASINDO+ANDALAN+SUKSES+CAB+CIMONE+TANGERANG/@-6.1857658,106.6116067,18.75z/data=!4m12!1m6!3m5!1s0x0:0x8b73d6477b0cea88!2sPT+Gasindo+Andalan+Sukses!8m2!3d-6.2099489!4d106.3788288!3m4!1s0x2e69fee6d6f793e5:0x41330243ef77877d!8m2!3d-6.1855476!4d106.6113989",021 594 504 72 / +622155665663 / +62 859-2063-6695 (YUNI),"sebelah Ruko Harmoni Mas, Jl. Gatot Subroto No.Km.2 No.23, RT.005/RW.009, Cimone, Kec. Karawaci, Kota Tangerang, Banten 15132",Kota Tangerang,Isi Ulang Tabung Oksigen
Medical Oksigen,,085691286662,"Jl. Hasyim Ashari No 9, Kota Tangerang",Kota Tangerang,"Supplier Oksigen, Penyebwaan Tabung"
Sawangan 13 refill oxygen,,083815968688,"Jl raya sawamgan  no. 13
Mampang pancoran mas 
Depok",Depok,Isi ulang tabung
Tim Aksi Kasih Gereja Reformed Injili Indonesia,,087888974519 (Anissa) 082180353629 (Yosephine),"Jl. Rawa Gelam II No. 3, Kawasan Industri, Pulogadung, Jakarta Timur",Jakarta Timur,Pengisian oksigen gratis non profit use (medical grade). Layanan Senin-Minggu 09.00-21.00
Susi,,+62 821-3000-0374,"Keliling di daerah Buah Batu, Bypass, Ciwastra",Bandung,Isi ulang tabung 50.000/m³
Bandung Sehat Abadi,,+62 812-2011-7100,"Ruko Buah Batu Regensi
Blok A1 no 10",Bandung,Isi ulang 40.000/m³ jam buka setiap hari pk. 08 - 19
J Alkes,https://wa.me/628990081161,08990081161,"bekasi,galaxy ",bekasi,pembelian tabung
Hikmah Gas Medical,"Hikmah Gas Medical Oksigen Jl. Karang Tengah Raya No.49, RT.5/RW.3, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440 (021) 75910775 https://maps.app.goo.gl/9WpcrHMioDxhpidm8",75910775,"Jln. Karang Tengah Raya No.49 Lebak Bulus, Cilandak, Jakarta Selatan 12440",Jakarta Selatan,Isi Ulang 24 jam
Citratama Gas,citratama.co.id,,"Jalan Kentang 5 No.31 Belakang Masjid Al Ikhlas, Cibodasari",Kota Tangerang,"Sewa tabung oksigen, isi tabung oksigen"
TRIO SEJATI GAS & OKSIGEN CIOMAS BOGOR (ISI ULANG OKSIGEN),https://triosejatigas.business.site/,0813-1174-0004,"Jl. Raya Ciomas, RT.01/RW.05, Pasirkuda, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16118",Bogor Barat,"Isi Ulang Oksigen, Buka jam 08.00-21.00"
MAJU GAS,goo.gl/maps/4W8MtanwKMQQ6U2E9,021-5513895,Jalan imam bonjol no 25,Kawasaki,Distributor MEDICAL OXYGEN
PT Aneka Gas Industri,https://isioksigen.net/2019/06/23/daftar-tempat-isi-ulang-oksigen-di-balikpapan-dan-sekitarnya/,T : (0542) 743370 | F : (0542) 743566,"Jl. Mulawarman No. 9, RT 24, Manggar, Balikpapan Timur",Kota Balikpapan,"1) Tabung Oksigen Ukuran 1m3 sudah termasuk isi, siap pakai; 2) Selang Nasal Oksigen mulai dari ukuran Bayi, Anak atau Dewasa; 3) Regulator Oksigen Medis; 4) Air Steril Aquapack untuk mengisi humidifier regulator oksigen Anda; 5) Oxygen Concentrator kapasitas mulai dari 5 liter per menit"
MANDIRI JAYA GAS,,082116570167,Jl Pendidikan Raya No.22A,Jakarta Timur,Hanya menerima isi ulang gas oxygen
PT. SBM,https://g.co/kgs/HV9ymW,(0542) 733600,"Jl. Jenderal Sudirman No.5 dan 6, Klandasan Ilir, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur",Balikpapan,Buka Pukul 08.00
,,,,Bekasi,
Gereja Reformed Injili Indonesia,,087888974510 082180353629,"Jl. Rawa Gelam II No. 3, Kawasan Industri Pulogadung, Jakarta Timur",Jakarta Timur,Free Pengisian O2 Medical Grade-Non Profit Use Only
Emaknya Mbak @suneo138,,0227302404,"Jl. Buah Batu No. 138, Bandung",Bandung,Isi ulang tabung O2
Lagas Filling Station Gas,www.lagas.co.id,081290042007,Jl.Lenteng Agung no 59 Jakarta Selatan,Jakarta Selatan,Isi ulang tabung
Cakra Bumi Mulia,,081112720119,"Jl. Tegar Beriman No. 88 Cibinong, kab Bogor. 
Sebelah spbu sblm Rs. Sehati
02187990200
08121357047",Kabupaten Bogor,
,,,,,
OXYGEN REFILLING PULO GADUNG,,Contact: 0878 8897 4510 (Anissa) / 0821 8035 3629 (Yosephine),"Fasilitas Pengisian (Senin-Minggu jam 09.00-21.00):
Jl. Rawa Gelam II No. 3, Kawasan Industri, Pulogadung, Jakarta Timur",,
Cv sahabat,,,Jln tuparev,Cirebon,Pembelian tabung oksigen
,,,,Depok,Isi ulang oksigen
OXYGOLD.CINAMBO,,082116993330,,,ISI ULANG TABUNG OKSIGEN
SAMATOR,https://www.samator.com,P + 62 21 8370 9111   F + 62 21 8370 9911,"Gedung UGM Samator Pendidikan
Gedung A, lantai 5 dan 6
Jl. Dr. Sahardjo No.83, Manggarai - Tebet
DKI Jakarta, Indonesia 12850",Banyak Cabang,Pembelian Tabung/Isi Ulang
Tegar Gas Medikal Oxigen,,081280689275/089505556447,Jalan Samudra Jaya Kp. Grogol RT 04/RW 02 No 100,Depok,Beli/Isi Ulang/Sewa
Asep oksigen,,089644519666,Jln. Ancol timur 1 no 2 bandung rt 001 rw 004 kelurahan ancol kecamatan regol ,Kota bandung,Isi ulang tabung oksigen kecil
sumber gas abadi,"https://www.google.com/maps/place/6%C2%B011'43.8%22S+106%C2%B037'10.4%22E/@-6.1954946,106.6173773,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-6.1954946!4d106.619566?hl=en",+62 812-1271-0960,"https://www.google.com/maps/place/6%C2%B011'43.8%22S+106%C2%B037'10.4%22E/@-6.1954946,106.6173773,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-6.1954946!4d106.619566?hl=en",tangerang,pembelian tabung
YPI Gas,,021 44830515,Jalan Cilincing Raya No.9 Jakarta Utara,Jakarta,Isi ulang oxygen. Buka jam 07.00-16.30
 , , ,,, 
a,aa,a,aa,a,a
PRIMA OXYGEN ( tukar tabung 1m3 ) ,"https://www.google.com/search?hl=in-ID&ie=UTF-8&source=android-browser&q=prima+Oxygen&client=ms-android-xiaomi&gws_rd=ssl#gws_rd=ssl&trex=m_t:lcl_akp,rc_f:nav,rc_ludocids:2752976507136572721,rc_q:PRIMA%2520OXYGEN%2520(%2520CISARUA%2520),ru_q:PRIMA%2520OXYGEN%2520(%2520CISARUA%2520),trex_id:XkZ8pf",0821 2507 6619 ,Kp. Leuwimalang RT 03/01 kec. Cisarua kab. Bogor 16750,Bogor,Isi ulang oxygen 
Slara medika,,,Jalan teuku umar,Bandar Lampung,Isi ulang
RIZKY OKSIGEN,"TOKO TABUNG OKSIGEN & ISI ULANG OKSIGEN Jl. Gondang Sari, RT.15/RW.9, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790 0877-7546-4667 https://maps.app.goo.gl/HkkWbD6a4z1zyyjV6",087775464667,"Jl. Gondang Sari, No. 4 RT.5/RW.9,  Kalisari, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790",Jakarta Timur,"Beli tabung, isi ulang, dll. 24 Jam"
,,082225024670,"Jl. Raya Tajem, Tajem, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Sleman, Yogyakarta",Isi tabung ulang oksigen
Alkes Barokah,,085290035179,"Jalan Ringroad Utara, Depok, Sleman, Yogyakarta",Sleman,Beli
Central Oksigen,,085292607777,Jl Monumen Jogja Kembali (Monjali) Kota Yogyakarta,Jl Monjali,Isi ulang
Atoz gas,,,,,
OKSIGEN JOGJA,https://g.page/sewaoksigenjogja?share,+6287831254343,"Jl. Ngeksigondo No.66, Prenggan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55172",Yogyakarta,"Sewa, Jual, dan Isi Ulang Tabung Oksigen"
,https://goo.gl/maps/aTDyZ9G2qNJEPx4y8,+62817274665,"Jl. Argolubang, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55225",Yogyakarta,Isi dan sewa tabung oksigen
Apotek Indah Farma,https://g.page/apotek24jamindahfarma?share,085712132848,"Jl. Dr. Wahidin Sudiro Husodo No.52, Area Sawah, Trirenggo, Kec. Bantul, Bantul, Daerah Istimewa Yogyakarta 55714","Bantul, Yogyakarta",Sewa
Lestari Oksigen Bantul,https://goo.gl/maps/FRXmiSYjdh5euQJi9,+6287739056800,"Jl. km. 10 Melikan 55711, Jl. Menayu Lor, Badegan, Tirtonirmolo, Kec. Kasihan, Bantul, Daerah Istimewa Yogyakarta 55184","Bantul, Yogyakarta",Isi ulang tabung kecil
Gemilang refill oksigen,https://g.page/refill-oksigen-refill-gas-terdek?share,+6281246048002,"Jl. Perintis Kemerdekaan No.94, Kramat Sel., Kec. Magelang Utara, Kota Magelang, Jawa Tengah 56115",Magelang,Isi ulang
Putra Kembar OXYGEN MEDIS,https://goo.gl/maps/b5HquFuyhcszUjyK9,+628156858678,"Jl. Wira Jaya No.310 B, Gejayan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Sleman, Yogyakarta",Isi ulang tabung oksigen kecil
Mas Medica,https://goo.gl/maps/aPqt97KgXHMF1z2JA,+6287839057927,"Jalan Dharmakusuma Lingkar Utara, Selang V, Selang, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55851",Gunung Kidul,Isi ulang tabung kecil
OXY24,https://goo.gl/maps/mJowUm5KvtgF5XEt5,+628119280200,"Jl. Stadion, Denokan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Sleman, Yogyakarta",isi ulang tabung oksigen
ONE OXYGEN,https://goo.gl/maps/QEVn6UgYmar1L8Tn8,+6289608666194,"Tanjung, Bangunharjo, Kec. Sewon, Bantul, Daerah Istimewa Yogyakarta 55188","Bantul, Yogyakarta",Isi ulang
,,,,Pekalongan,
3R Medika Gas,https://3r-medika-gas-isi-ulang-gas-oxygen-medis.business.site/?utm_source=gmb&utm_medium=referral,081286109493,"Jln.raya meruya selatan depan, Jl. H. Merin samping tol jorr No.7, RT.9/RW.4, Meruya Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11650",Jakarta Barat,"Pembelian tabung, Isi ulang tabung (jam buka: 08.30 - 21.00 tergantung hari) "
Jahe Gas (Oksigen Medikal),https://instagram.com/jahe.gas?utm_medium=copy_link,085867168814 / 0811-1617-171 ,"Jl. Komp. Regensi Melati Mas, Blok A2-6, Pondok Jagung, North Serpong, South Tangerang City, Banten 15326",Tangerang Selatan,Isi ulang tabung oksigen 24 jam (info stock harap cek update nya di IG @jahe.gas
Bekasi,,,,,
Surya Medical,,081219104516 / 085770849785,"jl. mayor oking no. 12 rt 002/rw 001, margahayu",Kota Bekasi,
Pekayon gas medical,,087879371787,"Jl. raya pekayon no. 53 rt05/rw01
kelurahan jaka setia, bekasi selatan",Bekasi,
Berkah Oksigen,,0817722270 / 088865561,harapan indah,Bekasi,Isi ulang & pembelian tabung
CV Rintis Usaha Bersama,,(021) 8297150,"Jl. Minangkabau No 1A, Kelurahan Menteng Atas, Setiabudi
(Seberang Seafood Ade Fani 67)",Jakarta Selatan,Isi Ulang Tabung Oksigen
Elyon Jaya Gas,,085930308178,"Jl. Raya Karang Satria No.10-12, Karangsatria, Kec. Tambun Utara, Bekasi, Jawa Barat 17510",Bekasi,ISI ULANG TABUNG OKSIGEN
Pak Ferdi,,0857-3334-6325,,Surabaya,Pembelian Tabung / Isi Ulang Tabung Oksigen / Sewa
MALSON GAS KENJERAN,https://www.tabunggasmurah.com/,0812-3171-1234,"Jl. Kenjeran No.185 - 187, Gading, Kec. Tambaksari, Kota SBY, Jawa Timur 60134",Surabaya,Isi Ulang Tabung Oksigen
MALSON GAS MERR,www.tabunggasmurah.com,0812-3171-5678,"Jl. Dr. Ir. H. Soekarno No.243, Medokan Semampir, Kec. Sukolilo, Kota SBY, Jawa Timur 60119",Surabaya,Isi Ulang Tabung Oksigen
SURABAYA OKSIGEN,https://www.surabayaoksigen.com/,0812-4993-4301 ; 0856-327-0449,"Jl. Gubeng Kertajaya VII K No.01, Airlangga, Kec. Gubeng, Kota SBY, Jawa Timur 60286

Jl. Galangan No. 10, Semampir Barat - Sedati, Sidoarjo",Surabaya,"Tabung oksigen 2 ltr = Rp. 1.500.000,- (paket termasuk tas) Tabung oksigen 1 m3 = Rp. 500.000,- Tabung oksigen 1,5 m3 = Rp. 750.000,- Tabung oksigen 2 m3 = Rp. 850.000,- Tabung oksigen 6 m3 = Rp. 1.700.000,-  Nb : Harga sewaktu-waktu bisa berubah"
Gesunde Surabaya,,08880-3000-395 ; (031)5016575,"Jalan Dharmawangsa No.119, Kertajaya, Gubeng, Surabaya",Surabaya,
UD. Wonokoyo Prima Gas,,(+62) 8121755666 ; (+62) 313717137 ; (+62) 313766108,Jl. Kenjeran 185-187. Surabaya,Surabaya,
Dinar Oksigen,,0852-3046-1289 ; 0878-5189-8522,"Perum Griya Kebonagung 1, Blok. C2, No. 32
Sukodono – Sidoarjo",Sidoarjo,
KJ Oksigen Medika,,0822 5744 3616 ; 0878 5311 7511 ; 0822 2811 7251,Jl.Raya Menganti Gemol No. 43 Surabaya,Surabaya,
AMJS Tabung Oksigen,,( 031 ) 71930506,Manukan Surabaya Barat,Surabaya,
Samator Gas Industri Sidoarjo,,031-8530981 ; 0822-4566-2474 (Hadi Sukarno),"Kawasan Industri Benteng Tunggal Blok A-2, Jl Muncul, Gedangan, Sidoarjo",Sidoarjo,
Samator Filling Station Driyorejo SMT FS Driyorejo,,031-7507050 ; 0896-2688-3009 (Auliya Sumarta Ningtiyas),Jl. Raya Bambe KM 19 Driyorejo Gresik,Gresik,
Samator Gas Industri Gresik,,031-3952340 ; 0822-3450-4538 (Zuni Hidayati Setyoningsih),"Jl. KIG Raya Utara Blok K, Roomo, Manyar, Gresik",Gresik,
Aneka Mega Energi Krian,,031-8971223 ;  0812-3070-552 (Rindajani Christanti),"Jl Raya Kemangsen KM 32, Balongbendo, Krian, Sidoarjo",Sidoarjo,
CV CANDI GASINDO,,(031) 7482231 ; (031) 7482230 ; 0858-5234-9737,"JL. Margomulyo 44, Blok KK 01, Greges, Kec. Asemrowo, Kota SBY, Jawa Timur 60183
Pergudangan PT Suri Mulia",Surabaya,
KARINA GAS,,0813-3306-9814,"Jl. Gubeng Kertajaya V. E No.20, Airlangga, Kec. Gubeng, Kota SBY, Jawa Timur 60286",Surabaya,
Jasa Kurir Tabung Oksigen (akun twitter @bonekpedia),,0856-0602-3397 (Yoga) ; 0881-0266-12334 (Farizal) ; 0815-`556-4440 (Adit),,Surabaya,Khusus tabung 1m3
CV CANDI SUKSES ABADI,,0859-3127-6364,"Bypass Krian, Sidoarjo",Sidoarjo,
Bandung gas/asep oksigen,,081321717176; 089644519666,Jl. Ancol Timur 1 No 2 rt 001 rw 004 kelurahan ancol kecamatan regol,Bandung,Isi ulang tabung oksigen kecil
AROGYAKARTA,,081328091478,JOGBAY,YOGYAKARTA,
ALKES BAROKAH,,085290035179,RINGROAD UTARA,YOGYAKARTA,
CENTRAL OKSIGEN,,085292607777,JL. MONJALI,YOGYAKARTA,
APOTEK INDAH FARMA,,085712132848,BANTUL,BANTUL,SEWA
ISI ULANG OKSIGEN WONOSARI,,085643123543,"JL. SRI KALOKA NO 153, PURWOSARI, BALEHARJO, KECAMATAN WONOSARI",PURWOSARI,ISI ULANG
PT NISSON INDONESIA,,021-55737777,"JL. PEMBANGUNAN 3 NO 8, KARANGSARI, NEGLASARI, TANGERANG",TANGERANG,PEMBELIAN TABUNG
BUDHI OXYGEN GAS REFILL,,0851-0130-1999,PASAR SENEN,JAKARTA PUSAT,
AZZAM OKSIGEN,,0821-2436-6699,GUNUNG SAHARI,JAKARTA PUSAT,
UD ABADI GAS,,0813-1027-9017,PULO GADUNG,JAKARTA TIMUR,
OKSIGEN MANGGARAI,,0812-8610-4747,SETIA BUDI,JAKARTA SELATAN,
IKADA MEDIKAL OKSIGEN,,0813-1952-8448,PONDOK GEDE,JAKARTA TIMUR,ISI ULANG
REFILL OXYGEN PULO GADUNG,,0858-1160-7733,PULO GADUNG,JAKARTA TIMUR,ISI ULANG
OXYGEN MAREMA,,0857-7118-19768,PULO GADUNG,JAKARTA TIMUR,
CEMPAKA ISI ULANG OXSIGEN,,021-2239-1986,"Jalan Salemba Tengah No. 278A, Jakarta Pusat, RT. 4/ RW. 4, Paseban, Senen, RT.5/RW.8, Paseban, Kec. Senen, Kota Jakarta Pusat",JAKARTA PUSAT,ISI ULANG
KARYAGUNA GAS,,021-58904683 / 0878-7500-6888," Jl. Swadarma Raya, RT.9/RW.2, Ulujami, Kec. Pesanggrahan, Kota Jakarta Barat",JAKARTA BARAT,ISI ULANG
CHANDRA MEDIKA,,0856-4959-5148,"l. Belibis Terusan No.53 A, RT.9/RW.3, Palmerah, Kec. Palmerah, Kota Jakarta Barat",JAKARTA BARAT,
NG REFILL OKSIGEN,,0812-8990-2162,"Jl. Raya Penggilingan No.16, RT.12/RW.11, Penggilingan, Cakung, Jakarta Timur",Jakarta Timur,
Cimanggis Oksigen,,082110691401,"Jln Raya Bogor Km 35 No 27  RT01 RW 02 Cimanggis, Depok",Kota Depok,"Isi ulang tabung oksigen, penjualan regulator tabung"
